Id,Code,Name,Concept Class Id,Domain,Vocabulary,Invalid Reason,Standard Concept
38003572,1.01,American Indian,Race,Race,Race,Valid,Standard
38003573,1.02,Alaska Native,Race,Race,Race,Valid,Standard
38003574,2.01,Asian Indian,Race,Race,Race,Valid,Standard
38003575,2.02,Bangladeshi,Race,Race,Race,Valid,Standard
38003576,2.03,Bhutanese,Race,Race,Race,Valid,Standard
38003577,2.04,Burmese,Race,Race,Race,Valid,Standard
38003578,2.05,Cambodian,Race,Race,Race,Valid,Standard
38003579,2.06,Chinese,Race,Race,Race,Valid,Standard
38003580,2.07,Taiwanese,Race,Race,Race,Valid,Standard
38003581,2.08,Filipino,Race,Race,Race,Valid,Standard
38003582,2.09,Hmong,Race,Race,Race,Valid,Standard
38003583,2.1,Indonesian,Race,Race,Race,Valid,Standard
38003584,2.11,Japanese,Race,Race,Race,Valid,Standard
38003585,2.12,Korean,Race,Race,Race,Valid,Standard
38003586,2.13,Laotian,Race,Race,Race,Valid,Standard
38003587,2.14,Malaysian,Race,Race,Race,Valid,Standard
38003588,2.15,Okinawan,Race,Race,Race,Valid,Standard
38003589,2.16,Pakistani,Race,Race,Race,Valid,Standard
38003590,2.17,Sri Lankan,Race,Race,Race,Valid,Standard
38003591,2.18,Thai,Race,Race,Race,Valid,Standard
38003592,2.19,Vietnamese,Race,Race,Race,Valid,Standard
38003593,2.2,Iwo Jiman,Race,Race,Race,Valid,Standard
38003594,2.21,Maldivian,Race,Race,Race,Valid,Standard
38003595,2.22,Nepalese,Race,Race,Race,Valid,Standard
38003596,2.23,Singaporean,Race,Race,Race,Valid,Standard
38003597,2.24,Madagascar,Race,Race,Race,Valid,Standard
38003598,3.01,Black,Race,Race,Race,Valid,Standard
38003599,3.02,African American,Race,Race,Race,Valid,Standard
38003600,3.03,African,Race,Race,Race,Valid,Standard
38003601,3.04,Bahamian,Race,Race,Race,Valid,Standard
38003602,3.05,Barbadian,Race,Race,Race,Valid,Standard
38003603,3.06,Dominican,Race,Race,Race,Valid,Standard
38003604,3.07,Dominica Islander,Race,Race,Race,Valid,Standard
38003605,3.08,Haitian,Race,Race,Race,Valid,Standard
38003606,3.09,Jamaican,Race,Race,Race,Valid,Standard
38003607,3.1,Tobagoan,Race,Race,Race,Valid,Standard
38003608,3.11,Trinidadian,Race,Race,Race,Valid,Standard
38003609,3.12,West Indian,Race,Race,Race,Valid,Standard
38003610,4.01,Polynesian,Race,Race,Race,Valid,Standard
38003611,4.02,Micronesian,Race,Race,Race,Valid,Standard
38003612,4.03,Melanesian,Race,Race,Race,Valid,Standard
38003613,4.04,Other Pacific Islander,Race,Race,Race,Valid,Standard
38003614,5.01,European,Race,Race,Race,Valid,Standard
38003615,5.02,Middle Eastern or North African,Race,Race,Race,Valid,Standard
38003616,5.03,Arab,Race,Race,Race,Valid,Standard
8515,2,Asian,Race,Race,Race,Valid,Standard
8516,3,Black or African American,Race,Race,Race,Valid,Standard
8527,5,White,Race,Race,Race,Valid,Standard
8557,4,Native Hawaiian or Other Pacific Islander,Race,Race,Race,Valid,Standard
8657,1,American Indian or Alaska Native,Race,Race,Race,Valid,Standard
